Enterprise Security Audit Report,,,,,,,
Audit Section,Check Category,Component / Feature,Current Status,Severity Level,Details / Result,Recommendation,Compliance
Executive Summary,Audit Information,Audit Date,Completed,Info,5/19/2026,Maintain Regular Audits,PASS
Executive Summary,Audit Information,Computer Name,Detected,Info,DESKTOP-01,None,PASS
Executive Summary,Audit Information,Current User,Administrator,Info,Admin Session Active,Use Least Privilege if Possible,PASS
Executive Summary,Security Score,Overall Security Score,92 / 100,Info,Security posture evaluated,Improve failed controls,GOOD
Executive Summary,Compliance Grade,Overall Grade,EXCELLENT,Info,Enterprise Compliance,Maintain Configuration,PASS
Security Product Detection,Antivirus Protection,Third-Party Antivirus,Detected,Warning,Kaspersky Internet Security,Verify policy compliance,WARNING
Security Product Detection,Antivirus Protection,Microsoft Defender Antivirus,Enabled,Info,Defender Active,No Action Required,PASS
Security Product Detection,Antivirus Protection,Real-Time Protection,Enabled,Info,Real-Time Monitoring Running,No Action Required,PASS
Security Product Detection,Antivirus Protection,Tamper Protection,Disabled,Critical,Defender Tamper Protection OFF,Enable Immediately,FAIL
Firewall Protection,Network Security,Domain Firewall,Enabled,Info,Domain Profile Protected,No Action Required,PASS
Firewall Protection,Network Security,Private Firewall,Enabled,Info,Private Profile Protected,No Action Required,PASS
Firewall Protection,Network Security,Public Firewall,Disabled,Critical,Public Network Exposed,Enable Public Firewall,FAIL
Windows Update Status,Patch Compliance,Critical Updates Pending,2 Pending,Critical,Missing Security Updates,Install Immediately,FAIL
Windows Update Status,Patch Compliance,Optional Updates Pending,4 Pending,Warning,Non-Critical Updates Available,Review & Install,WARNING
Windows Update Status,Patch Compliance,Update Compliance,Non-Compliant,Critical,Device Not Fully Updated,Apply Missing Updates,FAIL
Windows Update Status,Update Details,KB5039211,Pending,Critical,Windows Security Update,Install Update,FAIL
Windows Update Status,Update Details,KB5039345,Pending,Warning,.NET Framework Update,Install if Required,WARNING
Hardware & Boot Security,Platform Security,Secure Boot,Enabled,Info,UEFI Secure Boot Active,No Action Required,PASS
Hardware & Boot Security,Platform Security,TPM Present,Yes,Info,TPM 2.0 Available,No Action Required,PASS
Hardware & Boot Security,Platform Security,TPM Ready,Yes,Info,TPM Initialized,No Action Required,PASS
Core Isolation & Exploit Protection,Exploit Protection,Memory Integrity,Disabled,Critical,Core Isolation Disabled,Enable Memory Integrity,FAIL
Core Isolation & Exploit Protection,Exploit Protection,Device Guard,Enabled,Info,Virtualization Security Active,No Action Required,PASS
BitLocker Encryption,Disk Encryption,C:\ Drive,Encrypted,Info,BitLocker Protection Enabled,No Action Required,PASS
BitLocker Encryption,Disk Encryption,D:\ Drive,Not Encrypted,Critical,Data Drive Unprotected,Enable BitLocker,FAIL
Account Protection,User Security,UAC Level,Secure,Info,Recommended UAC Configuration,No Action Required,PASS
Account Protection,Password Policy,Minimum Password Length,8 Characters,Info,Password Policy Applied,Increase to 12+ Recommended,PASS
App & Browser Control,Browser Protection,Microsoft SmartScreen,Enabled,Info,Web Protection Active,No Action Required,PASS
Device Health & Startup,Performance & Security,Startup Programs,15 Programs,Warning,Too Many Startup Applications,Reduce Startup Items,WARNING
Device Health & Startup,Device Health,System Performance,Healthy,Info,Normal Device Operation,Continue Monitoring,PASS
Critical Issues,High Risk Findings,Public Firewall Disabled,Active Issue,Critical,System Exposed on Public Networks,Enable Firewall Immediately,FAIL
Critical Issues,High Risk Findings,Memory Integrity Disabled,Active Issue,Critical,Reduced Kernel Protection,Enable Core Isolation,FAIL
Critical Issues,High Risk Findings,Tamper Protection Disabled,Active Issue,Critical,Defender Can Be Modified,Enable Tamper Protection,FAIL
Warning Findings,Medium Risk Findings,Third-Party Antivirus Detected,Warning,Warning,External AV Installed,Validate Vendor Compliance,WARNING
Warning Findings,Medium Risk Findings,Excess Startup Programs,Warning,Warning,Startup Performance Impact,Disable Unnecessary Apps,WARNING
Final Compliance Report,Security Compliance,Antivirus Compliance,PASS,Info,Antivirus Protection Active,Maintain Security Updates,PASS
Final Compliance Report,Security Compliance,Firewall Compliance,FAIL,Critical,Public Firewall Disabled,Enable All Profiles,FAIL
Final Compliance Report,Security Compliance,Windows Update Compliance,FAIL,Critical,Critical Updates Missing,Patch System Immediately,FAIL
Final Compliance Report,Security Compliance,Hardware Security Compliance,PASS,Info,Secure Boot & TPM Enabled,Maintain Settings,PASS
Final Compliance Report,Security Compliance,Encryption Compliance,WARNING,Warning,One Drive Unencrypted,Encrypt All Drives,WARNING
Final Compliance Report,Security Compliance,Account Protection Compliance,PASS,Info,UAC & Password Policies Applied,Maintain Policies,PASS
Final Compliance Report,Security Compliance,Browser Protection Compliance,PASS,Info,SmartScreen Enabled,Continue Monitoring,PASS
,,,,,,,
Ultimate-Windows-Security,,,,,,,
Audit Section,Check Category,Component / Feature,Current Status,Severity Level,Details / Result,Recommendation,Compliance
Executive Summary,Audit Information,Audit Date,Completed,Info,5/19/2026,Maintain Scheduled Audits,PASS
Executive Summary,Security Assessment,Security Score,95 / 100,Info,Overall System Security Score,Maintain Secure Configuration,GOOD
Executive Summary,Security Assessment,Overall Grade,EXCELLENT,Info,Enterprise Security Level,Continue Monitoring,PASS
Virus & Threat Protection,Antivirus Security,Microsoft Defender Antivirus,Enabled,Info,Antivirus Engine Running,No Action Required,PASS
